sample_id	lake	year	experiment	treatment	timepoint	data_type	repository	run_accession	biosample	bioproject	availability
SRR5830790	Elizabeth	2012	Baseline	Ambient	NA	MG	NCBI SRA	SRR5830790	NA	PRJNA479392	public
SRR5830789	Lower Cathedral	2012	Baseline	Ambient	NA	MG	NCBI SRA	SRR5830789	NA	PRJNA367588	public
SRR12462965	Lower Gaylor	2016	LG2	Control	T0	MG	NCBI SRA	SRR12462965	NA	PRJNA656136	public
SRR12462967	Lower Gaylor	2016	LG2	Control	tFinal	MG	NCBI SRA	SRR12462967	NA	PRJNA656136	public
SRR12462970	Lower Gaylor	2016	LG2	Warming	tFinal	MG	NCBI SRA	SRR12462970	NA	PRJNA656136	public
SRR12462969	Lukens	2017	L6	Control	tFinal	MG	NCBI SRA	SRR12462969	NA	PRJNA656136	public
SRR12462971	Lukens	2017	L6	Control	T0	MG	NCBI SRA	SRR12462971	NA	PRJNA656136	public
SRR12462972	Lukens	2017	L6	BES	tFinal	MG	NCBI SRA	SRR12462972	NA	PRJNA656136	public
IMG:3300056358	Upper Cathedral	2016	UC1	Control	T0	MG	JGI IMG	NA	NA	NA	JGI/IMG proposal 1839
IMG:3300056359	Upper Cathedral	2016	UC1	Control	tFinal	MG	JGI IMG	NA	NA	NA	JGI/IMG proposal 1839
IMG:3300056395	Lukens	2016	L2	Control	T0	MG	JGI IMG	NA	NA	NA	JGI/IMG proposal 1839
IMG:3300056360	Lukens	2016	L2	Control	tFinal	MG	JGI IMG	NA	NA	NA	JGI/IMG proposal 1839
Y86	Upper Cathedral	2016	UC1	Warming	tFinal	MG	NCBI SRA	NA	SAMN60765011	PRJNA1477654	embargoed until 2026-12-01
Y139	Lukens	2016	L2	Warming	tFinal	MG	NCBI SRA	NA	SAMN60765012	PRJNA1477654	embargoed until 2026-12-01
Y153	Lower Gaylor	2016	LG3	Control	T0	MG	NCBI SRA	NA	SAMN60765013	PRJNA1477654	embargoed until 2026-12-01
Y164	Lower Gaylor	2016	LG3	Warming	tFinal	MG	NCBI SRA	NA	SAMN60765015	PRJNA1477654	embargoed until 2026-12-01
Y166	Lower Gaylor	2016	LG3	Control	tFinal	MG	NCBI SRA	NA	SAMN60765014	PRJNA1477654	embargoed until 2026-12-01
